gene,baseMean,log2FoldChange,padj
TSPAN6,23.42757962743165,-1.5793841240050834,0.01144764917852961
DPM1,30.053204135193074,-1.196922157505254,0.03081383286852106
BAD,20.6330652377192,-1.7590465166928,0.008870060766024451
POLDIP2,27.280070900137815,-1.524950081046965,0.010282646634461448
AK2,115.4389289146673,-1.2821579232909197,0.0056171706374426025
NDUFAB1,88.4229616430624,-2.0952582779431657,2.9577779342330465e-5
CDC27,17.696482040088824,-1.636295337072128,0.014150423655672668
HCCS,11.604250643866298,-2.626430334767877,0.002132042317927724
SLC25A5,207.70039382845874,-2.4829490978655118,1.895157275712904e-7
MCUB,15.482556883166266,-1.4144368247679397,0.03222192104715533
POLR2J,29.838358734556532,-1.5589322337689298,0.014932091298384294
WDR54,20.91962273374429,-1.7817165096361502,0.005335636561892802
AP2B1,27.854118236080257,-1.6505588006261778,0.004479767800571784
TNFRSF12A,24.393748871798365,-1.258264297324836,0.04780701962975568
GGCT,52.495951655131485,-2.8525992940010414,2.174932413434041e-6
TSR3,24.003011550989264,-1.204990595549397,0.03598961967926716
PSMB1,112.44326457727236,-1.9748920106173777,1.3315189821108129e-5
CDK11A,21.827578736523293,-1.226836824371182,0.04663478640978259
ADAM22,8.531555519568451,1.440816901506837,0.049292563965760566
SEC62,65.58788863093646,-1.3376064544413182,0.005192914616677404
RPS20,890.0320237272446,-2.206632364570082,4.0133846351118153e-7
CSDE1,151.34430902835754,-1.1128665302414853,0.014113415760925776
VTA1,17.057639261021986,-2.5297193776735516,0.0010490214256586813
BAZ1B,28.438887642195624,-1.245098719947518,0.02293221374141263
UQCRC1,61.59090728993154,-2.1249943627502907,8.083078987629046e-5
STARD3NL,26.31530883742087,-2.745897861112657,1.1159304127233523e-4
CD9,20.631717243286463,-1.235230282354569,0.04688280938050641
IDS,87.33496605378399,-1.7288653071444595,4.185130936336811e-4
ELOA,23.979695684357488,-1.3255094040122757,0.027749731337984997
LYPLA2,36.55256190950769,-1.6939103224435923,0.001905640863667162
UTP18,18.707237146010392,-2.258800418897502,0.0015956325838162974
ANLN,18.763830023631147,-3.3479906271005366,7.666885751679559e-5
PSMC4,29.774307057596776,-1.2942592156553125,0.022474639130618708
SLC7A14,21.841946143173136,1.183406311895352,0.03143060010255345
SLC25A39,42.516755759682006,-1.8094163126511158,0.0015303953427251533
MDH1,72.66618105536728,-1.8158936946746689,6.168702326344916e-4
MATR3,88.75878998184777,-0.9284174037329999,0.031360882173681895
RGPD5,68.46356849877341,1.1958162540582609,0.012813172784917773
WWTR1,76.98596640628274,-1.7494757825117204,3.674663580548131e-4
AGPS,19.825869865435816,-1.435412416594147,0.02112447463365125
SNAI2,9.179986812848032,-2.2220315981281313,0.023315384275098116
MNAT1,25.74894615922089,-1.903128050325273,0.002154316077389199
SAMD4A,110.66732423473175,-1.9378291929028353,9.97314095532406e-5
RTF2,32.26614092829637,-1.5178419354693127,0.008302452358206628
RNF10,33.795203211018936,-1.1782712985067831,0.030313410916698202
DERA,13.259540206079205,-1.6362989927958203,0.02196133943175494
STRAP,33.509791697555144,-1.2140294762455892,0.026166141213527817
DEPDC1,9.523607118046451,-1.6806798316391034,0.03743661821718525
VIM,47.23457626150404,-1.2452333264693685,0.01411460947797862
TBPL1,9.146889745754567,-1.6333459205590224,0.04550632312774338
BCLAF1,32.03809513578449,-1.7074993137147576,0.0011771355883683431
HMGB3,81.39478280963405,-2.796092915623725,4.3289695823540866e-7
SARS1,59.29138571924646,-0.9826248859994559,0.04501487992286143
TMSB10,1186.8058459768915,-2.3189242013618365,1.2044811929039712e-7
GABARAPL2,110.57171711324119,-1.5729510191675353,9.78166687300632e-4
FAM136A,55.127794196708344,-2.0669074448353815,6.454898129679377e-5
ADSS2,17.72120717643959,-1.2659677798583784,0.03558921277742998
RPL26L1,42.95863428796956,-1.3957874964213441,0.007610127195199538
METTL1,6.6988805568452925,-4.474561864529886,0.0015065110498172097
BOD1L1,73.89034976973673,-1.201544530719467,0.010235077451912985
MSR1,9.185223914115525,3.0909960548278828,0.0016384080776052046
RAI14,90.94651346979788,-1.645641779589608,4.6695909426131845e-4
PSMA4,139.60606255559532,-2.2648807054594546,3.7035451152754946e-6
CAPG,38.11687205984771,-1.192774697216261,0.0399011236530578
AP2S1,34.77268412620715,-1.8404363687183918,0.002138941183101062
FAM214A,30.561549345658523,1.1216156246258357,0.03316196748211495
TPR,52.158071196739364,-1.2744930627522777,0.0148037548500705
NOP16,31.901649479123826,-2.247781682533703,6.162910631845189e-4
FAM120A,43.857664490344526,-1.0563507665895164,0.026832314704938468
VAMP3,24.943868127094017,-1.5692731112749236,0.013783485172869344
NEDD4L,35.15503524936855,1.4366253829056161,0.009231262276094434
MCUR1,35.91336158944975,-1.2123413196204764,0.02155956928847899
HEBP2,43.50861809899084,-1.3099346232012583,0.016734278548922645
FNIP2,35.530053246122236,1.0875295455857368,0.02876714675041846
AKR7A2,13.559375065571897,-1.9640663126102713,0.008244021499542358
MRTO4,31.047907479743756,-1.9341575864064273,3.3234591252832624e-4
THRAP3,34.16243046273489,-1.7502253239339849,0.0021257141468496257
PHPT1,45.876967907736905,-1.3386246781631819,0.02051321788282274
NOP58,59.815803820933425,-1.8989378061384834,4.1106956745107573e-4
PUM2,12.578727259790451,-1.8967859486475802,0.015759676954576363
MRPL43,15.897318599922048,-1.348586400457142,0.04742585075630079
HPF1,14.967801737424296,-3.1058280419235866,3.1254583360863656e-4
ZFR,39.879151215928886,-1.0937615664435303,0.02356045017613016
GDI2,42.62257362300591,-1.107030246463545,0.030187697056282232
ATG5,15.654843656633611,-2.400390868788193,0.00444617952241495
YBX3,111.62391566864189,-1.4445670295776123,0.002253572776540258
CCAR1,51.88816061642321,-1.081918776881534,0.028276040868200212
SNRNP40,28.264834961223,-1.4798981980006018,0.012413024457400302
MPC1,9.682051317710531,-2.2541373360110644,0.010672419865607834
SPAG4,6.272018038261504,-2.2531529101709484,0.027699378512958877
MRPS35,37.24796802306703,-2.088647310064158,3.758888977316741e-4
MRPS24,53.169767581069614,-1.8022873357908884,3.228577449646591e-4
EIF4B,147.93248677021663,-1.2280969067997984,0.008851100744755524
RPL18,353.7774788030833,-1.7647009941225795,2.9512795124652217e-5
INTS13,13.894784663051306,-2.8370649559396415,8.543312737388783e-4
CCN5,19.09537306552934,1.2176325891427922,0.038838624205869796
ST3GAL6,10.40907177071095,2.226323452573812,0.005433521990238854
SLC12A2,25.834052334677732,1.1281098876470264,0.0327067986918943
CNN2,42.098630214758515,-1.1641263788702096,0.021391941284307454
BTBD1,18.172343881933745,-1.6975565410986382,0.010727819939572699
TAF11,14.356861649397972,-1.664938176402891,0.012413024457400302
AP3D1,7.530026138446839,-2.8187955268291116,0.006419068980959493
SLC9A3R2,28.022609083831956,-1.6794497434454543,0.0038650670618987845
NTHL1,24.051216322787177,-1.4136737099742112,0.019813522464250808
OAT,49.96575778579174,-2.0188091287043974,9.860187910302335e-5
KARS1,72.01800415012738,-1.1235774935818206,0.012706577632364532
NDUFB4,173.10826701580132,-1.709565965756123,1.1159304127233523e-4
ZC3H15,86.78386736092634,-1.4573498863229515,0.005746608214632674
GSTO2,20.3736362817333,-1.1339943551838856,0.04676833222022085
ME1,25.035294232229077,-2.01324202537588,0.002131542801698399
YBX1,441.6700415671844,-1.538905960424437,3.1277759190505517e-4
ISOC1,14.205053607888848,-2.255463904825462,0.00345058973421421
IDI1,19.066239364345005,-2.3935674770155235,0.001300339594722243
PKM,107.34014946803215,-1.926504197794908,4.223127240296161e-5
RHOA,125.7720020013924,-1.8303507553081995,2.894806940654466e-4
FUNDC1,25.410134419135296,-1.8914458168071167,0.0025503011722399042
PFN2,60.89647614876936,-1.1528389637778924,0.027189497682930174
TMEM260,17.244625164257844,1.9496108908448173,0.001941876851384475
RNF126,8.624515410346966,-2.928279794522687,0.003776437682344485
PABPC1,1272.1319163970782,-1.3337017963193074,0.0020736150220862217
CFAP20,18.03214681335865,-3.133818601271945,1.474574282396079e-4
EIF2B3,13.910379095671123,-1.38934813398614,0.047350298649430904
MAP4K4,99.98240266569081,-1.092524213292278,0.016409908155874085
RPL31,1467.7287692238974,-2.1203715479790626,6.618856930392223e-7
WDR1,37.94196649932796,-1.2740160750195695,0.015347989181816051
ARHGAP10,13.238300361989447,-1.2959718422072424,0.04770953637537654
TRIP13,14.753282457561804,-1.9573819008235112,0.007186751598686885
