size,3d_exotic_amg_1,3d_exotic_amg_2,3d_exotic_amg_3,3d_exotic_dmso_1,3d_exotic_dmso_2,3d_exotic_dmso_3
0.5,0,0,0,0,0,0
1.5,0,0,0,0,0,0
2.5,0,0,0,0,0,0
3.5,0,0,0,0,0,0
4.5,0,0,0,0,0,0
5.5,0,0,0,0,0,0
6.5,0,75,0,0,0,0
7.5,40,10785,0,0,0,80
8.5,265,130395,0,0,0,1365
9.5,1205,295670,0,0,0,38905
10.5,4115,225950,0,0,0,217760
11.5,11150,92475,0,0,5,346320
12.5,25115,30090,15,0,30,444780
13.5,49040,11485,125,0,100,516420
14.5,88675,7505,600,0,295,493695
15.5,154705,8630,1810,0,765,463405
16.5,246835,13245,3915,5,1830,480980
17.5,346270,23240,6680,200,4140,559905
18.5,437800,45440,9730,2530,8910,711785
19.5,520000,97545,12855,16705,18255,959200
20.5,597640,214155,16255,64980,35560,1332620
21.5,675400,432930,20630,164740,65980,1857130
22.5,756590,746025,27565,297225,117200,2532560
23.5,843050,1068925,40875,412520,200450,3319455
24.5,934140,1298035,69180,472140,330590,4144895
25.5,1024910,1398300,126760,475050,523025,4928150
26.5,1104950,1411295,227715,448425,786620,5609235
27.5,1160020,1399300,375690,429520,1115345,6163125
28.5,1177110,1402640,559040,456415,1484305,6596150
29.5,1150655,1433240,756660,561350,1854100,6933120
30.5,1085700,1485040,948500,758455,2181980,7204990
31.5,995775,1544485,1122190,1032200,2434285,7442195
32.5,897095,1596790,1273345,1340455,2594290,7673770
33.5,803020,1629050,1402175,1636305,2663185,7930360
34.5,721410,1631880,1509750,1906585,2655575,8248235
35.5,654995,1600265,1595650,2269340,2592790,8670695
36.5,603120,1533930,1657350,3170790,2496900,9242420
37.5,563630,1436995,1690815,5111300,2386875,9992595
38.5,534135,1316995,1691880,7283930,2277000,10907925
39.5,512690,1183310,1657875,7797505,2176855,11907025
40.5,498130,1045495,1589120,6444640,2092175,12837535
41.5,490255,911795,1489785,4708565,2025895,13512240
42.5,489980,788285,1367830,3503070,1979165,13776275
43.5,499545,678590,1233860,2784740,1952075,13569730
44.5,522620,584145,1099215,2296260,1944180,12947785
45.5,564160,504725,973850,1903080,1954850,12049260
46.5,629840,439080,864735,1571200,1983425,11038145
47.5,724830,385450,775150,1300115,2029330,10052650
48.5,851925,341955,704990,1092165,2092105,9181035
49.5,1009275,306855,651720,946050,2171400,8462705
50.5,1188430,278650,611530,858450,2266970,7902410
51.5,1373615,256120,580395,826770,2378640,7486250
52.5,1543255,238310,554760,850910,2506285,7193630
53.5,1674045,224505,531915,933670,2649810,7004170
54.5,1746720,214180,510050,1079685,2809120,6900770
55.5,1751405,206970,488210,1292755,2984100,6870320
56.5,1690260,202645,466090,1571495,3174620,6903395
57.5,1576270,201100,443860,1904150,3380510,6993535
58.5,1428855,202330,421975,2264430,3601580,7136510
59.5,1268430,206410,401035,2611325,3837610,7329700
60.5,1111995,213535,381670,2895055,4088385,7571565
61.5,970960,223970,364475,3069020,4353690,7861270
62.5,851120,238095,349980,3103535,4633335,8198340
63.5,753905,256375,338635,2995420,4927180,8582420
64.5,678005,279385,330825,2768700,5235155,9013055
65.5,620820,307820,326895,2466385,5557255,9489510
66.5,579420,342470,327150,2137455,5893570,10010585
67.5,551065,384265,331920,1824895,6244275,10574510
68.5,533455,434245,341545,1558525,6609625,11178785
69.5,524755,493575,356410,1353430,6989920,11820155
70.5,523560,563535,376935,1212285,7385495,12494555
71.5,528820,645470,403620,1129335,7796680,13197160
72.5,539770,740765,436990,1094300,8223735,13922515
73.5,555880,850745,477625,1095370,8666825,14664700
74.5,576780,976540,526110,1121210,9125950,15417630
75.5,602255,1118955,583025,1162140,9600930,16175335
76.5,632195,1278315,648880,1210775,10091345,16932340
77.5,666605,1454295,724100,1262175,10596545,17683975
78.5,705565,1645855,808965,1313810,11115630,18426720
79.5,749245,1851210,903585,1365225,11647490,19158400
80.5,797890,2067895,1007890,1417670,12190810,19878355
81.5,851855,2292950,1121635,1473625,12744145,20587475
82.5,911560,2523140,1244430,1536430,13305985,21288155
83.5,977550,2755245,1375795,1609950,13874805,21984120
84.5,1050480,2986310,1515225,1698360,14449135,22680215
85.5,1131125,3213875,1662235,1806055,15027645,23382125
86.5,1220415,3436120,1816430,1937635,15609175,24096065
87.5,1319420,3651950,1977560,2097965,16192800,24828480
88.5,1429375,3860955,2145510,2292310,16777830,25585760
89.5,1551680,4063365,2320365,2526435,17363850,26373955
90.5,1687895,4259920,2502365,2806730,17950700,27198580
91.5,1839720,4451730,2691925,3140240,18538450,28064395
92.5,2008975,4640160,2889605,3534645,19127395,28975295
93.5,2197550,4826680,3096095,3998010,19717980,29934195
94.5,2407365,5012780,3312230,4538405,20310800,30942965
95.5,2640270,5199870,3538935,5163280,20906500,32002390
96.5,2898005,5389240,3777270,5878645,21505785,33112180
97.5,3182075,5582010,4028380,6688145,22109330,34270990
98.5,3493675,5779125,4293525,7592145,22717740,35476460
99.5,3833590,5981325,4574065,8587030,23331555,36725285
100.5,4202135,6189155,4871470,9664910,23951155,38013320
101.5,4599080,6402985,5187295,10813870,24576780,39335640
102.5,5023600,6623005,5523200,12018800,25208495,40686680
103.5,5474290,6849245,5880890,13262790,25846150,42060330
104.5,5949150,7081575,6262140,14528800,26489415,43450060
105.5,6445645,7319750,6668700,15801425,27137715,44849025
106.5,6960750,7563385,7102285,17068350,27790270,46250180
107.5,7491070,7812000,7564480,18321305,28446085,47646360
108.5,8032905,8065010,8056665,19556350,29103935,49030370
109.5,8582385,8321765,8579915,20773475,29762390,50395055
110.5,9135575,8581530,9134870,21975635,30419815,51733340
111.5,9688595,8843525,9721635,23167385,31074385,53038290
112.5,10237695,9106925,10339655,24353355,31724095,54303125
113.5,10779370,9370875,10987570,25536840,32366785,55521255
114.5,11310405,9634505,11663145,26718595,33000150,56686280
115.5,11827935,9896940,12363180,27896080,33621765,57792025
116.5,12329500,10157310,13083470,29063180,34229115,58832565
117.5,12813025,10414760,13818830,30210380,34819600,59802220
118.5,13276840,10668465,14563140,31325375,35390595,60695635
119.5,13719675,10917630,15309470,32394025,35939460,61507775
120.5,14140615,11161510,16050255,33401475,36463570,62234010
121.5,14539090,11399405,16777515,34333385,36960345,62870145
122.5,14914830,11630680,17483110,35177045,37427305,63412490
123.5,15267820,11854740,18159030,35922325,37862070,63857910
124.5,15598260,12071080,18797670,36562350,38262410,64203895
125.5,15906535,12279230,19392100,37093820,38626265,64448605
126.5,16193175,12478810,19936305,37517065,38951775,64590910
127.5,16458805,12669500,20425375,37835750,39237310,64630430
128.5,16704125,12851030,20855665,38056365,39481475,64567550
129.5,16929890,13023220,21224835,38187580,39683140,64403420
130.5,17136875,13185930,21531875,38239465,39841445,64139955
131.5,17325845,13339085,21777065,38222745,39955815,63779805
132.5,17497575,13482670,21961865,38148135,40025950,63326315
133.5,17652800,13616715,22088775,38025725,40051840,62783460
134.5,17792230,13741300,22161160,37864560,40033750,62155800
135.5,17916530,13856560,22183080,37672330,39972215,61448390
136.5,18026325,13962655,22159075,37455235,39868020,60666710
137.5,18122200,14059790,22093985,37217955,39722190,59816575
138.5,18204690,14148195,21992800,36963745,39535985,58904035
139.5,18274290,14228145,21860480,36694575,39310850,57935315
140.5,18331445,14299925,21701830,36411390,39048415,56916710
141.5,18376580,14363840,21521420,36114320,38750460,55854515
142.5,18410060,14420220,21323485,35802950,38418890,54754950
143.5,18432240,14469405,21111880,35476555,38055730,53624100
144.5,18443435,14511750,20890060,35134310,37663065,52467845
145.5,18443940,14547605,20661045,34775495,37243055,51291820
146.5,18434025,14577340,20427440,34399590,36797885,50101380
147.5,18413945,14601315,20191445,34006435,36329745,48901555
148.5,18383940,14619890,19954875,33596245,35840835,47697040
149.5,18344245,14633415,19719205,33169660,35333320,46492165
150.5,18295075,14642250,19485590,32727740,34809315,45290900
151.5,18236650,14646725,19254900,32271935,34270895,44096850
152.5,18169175,14647170,19027765,31804050,33720055,42913250
153.5,18092865,14643895,18804610,31326160,33158720,41742980
154.5,18007925,14637205,18585685,30840570,32588715,40588580
155.5,17914565,14627370,18371110,30349720,32011785,39452265
156.5,17813000,14614665,18160870,29856135,31429560,38335925
157.5,17703445,14599320,17954890,29362345,30843580,37241175
158.5,17586110,14581560,17753010,28870820,30255275,36169350
159.5,17461230,14561585,17555040,28383935,29665970,35121535
160.5,17329020,14539575,17360760,27903895,29076890,34098600
161.5,17189720,14515675,17169935,27432730,28489145,33101190
162.5,17043565,14490025,16982335,26972245,27903755,32129780
163.5,16890800,14462730,16797725,26524010,27321645,31184665
164.5,16731670,14433880,16615900,26089330,26743640,30266005
