size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,2d_rnaEasy_NA_DMSO
0.5,0,0,0,0
1.5,0,0,0,0
2.5,0,0,0,0
3.5,0,0,17400,0
4.5,0,0,1528900,0
5.5,0,0,3346000,0
6.5,100,0,1237900,0
7.5,92200,0,282100,0
8.5,1874900,0,91800,0
9.5,4831600,0,61800,0
10.5,4186500,0,82500,0
11.5,2419700,0,168800,0
12.5,1520900,0,404100,0
13.5,1617000,100,939500,0
14.5,2975200,1400,1928200,400
15.5,6009700,8700,3390200,3300
16.5,10743900,36600,5144500,20900
17.5,16751700,113800,6905500,117500
18.5,23513100,280300,8448000,580100
19.5,30666200,582900,9691400,2201700
20.5,37990900,1081600,10678500,6037900
21.5,45298900,1871100,11512000,12270700
22.5,52382000,3112800,12301900,19581900
23.5,59028400,5069300,13139600,26061700
24.5,65055300,8123400,14091900,30463300
25.5,70331100,12742100,15203400,32563800
26.5,74787000,19345800,16495800,32790700
27.5,78424700,28104100,17961900,31757700
28.5,81315500,38753500,19558400,30007700
29.5,83588800,50551300,21205000,27937500
30.5,85411300,62409700,22795500,25807300
31.5,86961700,73155900,24216000,23774400
32.5,88408500,81809100,25364900,21924800
33.5,89893100,87776900,26167600,20298400
34.5,91520000,90922000,26584700,18907900
35.5,93353900,91507600,26612900,17750300
36.5,95420700,90065500,26281500,16815700
37.5,97712200,87238200,25645000,16091400
38.5,100191100,83642500,24774500,15564400
39.5,102796300,79776600,23748000,15222100
40.5,105447500,75979000,22642600,15051800
41.5,108049900,72429600,21528300,15040600
42.5,110497500,69179300,20464100,15174700
43.5,112678900,66192400,19497200,15438700
44.5,114483200,63391600,18662900,15816700
45.5,115808500,60695100,17986700,16293100
46.5,116570900,58043700,17486300,16853800
47.5,116713300,55415700,17173800,17489200
48.5,116211400,52829900,17058100,18196100
49.5,115077000,50340300,17145800,18980000
50.5,113356300,48024300,17442400,19856500
51.5,111123800,45969400,17952800,20851600
52.5,108474600,44259900,18680800,21999500
53.5,105514600,42966100,19628600,23339000
54.5,102351000,42137000,20795800,24906200
55.5,99084800,41795500,22178400,26727100
56.5,95805400,41936900,23767500,28807800
57.5,92587500,42529000,25548000,31126600
58.5,89490400,43513800,27498100,33629500
59.5,86558300,44810600,29588700,36229100
60.5,83822600,46320500,31783200,38810800
61.5,81303900,47932200,34039300,41243800
62.5,79014400,49530000,36309800,43395400
63.5,76960600,51001700,38545300,45147800
64.5,75144800,52247700,40697200,46411700
65.5,73567000,53188300,42720700,47136700
66.5,72225700,53769300,44577700,47314900
67.5,71118900,53965900,46239500,46979400
68.5,70244100,53782100,47688400,46197200
69.5,69598500,53248100,48917800,45059000
70.5,69178400,52415800,49932200,43668300
71.5,68979300,51352000,50745200,42130300
72.5,68994800,50132500,51376900,40543700
73.5,69216400,48835700,51851800,38993800
74.5,69632800,47537800,52195400,37549700
75.5,70229700,46309500,52432200,36262300
76.5,70989700,45213900,52583800,35165100
77.5,71892200,44305500,52667600,34276400
78.5,72914000,43630600,52697000,33601000
79.5,74029400,43227800,52681000,33133600
80.5,75211800,43129400,52625300,32861200
81.5,76433900,43361900,52533500,32765700
82.5,77669300,43947400,52407800,32825900
83.5,78893300,44903700,52250300,33019500
84.5,80084300,46244700,52064000,33324300
85.5,81224000,47979800,51853200,33719100
86.5,82298500,50113500,51624300,34184700
87.5,83298800,52644400,51385500,34704200
88.5,84220400,55564100,51146900,35263200
89.5,85063400,58856100,50919900,35850200
90.5,85832200,62494700,50717100,36456000
91.5,86534600,66444900,50551700,37074000
92.5,87181400,70661700,50436600,37699600
93.5,87785300,75091000,50384100,38330400
94.5,88360000,79670300,50405300,38965500
95.5,88919800,84330900,50510100,39605400
96.5,89478700,89000300,50706100,40251700
97.5,90049700,93604600,50999500,40906800
98.5,90644300,98072100,51393700,41573600
99.5,91272500,102336000,51890600,42255500
