gene,baseMean,log2FoldChange,padj
POLDIP2,18.060587555608922,-3.6393913096189867,0.014321476862594761
MYCBP2,11.515019964211573,-5.2505854063853805,0.009201971101156482
RALA,11.300940672001897,-5.163788581671379,0.010667399289985105
BAIAP2L1,10.064313616931361,-3.2172498781494294,0.03384054944976881
GGCT,18.116167562790114,-6.357765480940014,0.0012114001271267532
SELE,6.289077822735382,1.2328329355174947,0.04956660311134519
PSMB1,53.250593628128655,-2.95770083113083,2.1572081193238648e-4
CDK11A,33.53686421041794,2.9266314284458472,0.002825335300526029
MGST1,19.68983734471293,-4.569686520320559,0.003244292239079064
RPS20,290.31504766610107,-1.5077576588455683,0.002359923735394955
IFFO1,5.554417990492038,4.206095183588264,0.029183877014720406
UTP18,11.962187454561429,-5.248993395611349,0.010362874880293067
BID,11.974110587452005,-5.438720331155057,0.006067274476021719
NRXN3,8.317223056829599,3.845311248387948,0.006149951716721357
BRD9,17.704003888717757,2.0802493485586484,0.019374717903884904
SARS1,67.79764011336665,-2.9640857489519985,3.126423410960824e-4
LRRC7,43.910301155126405,1.9469317499178236,0.002977123362884269
ATP6V0A1,14.137475671406161,7.130063323307213,1.7805087853541438e-4
TMSB10,529.1312321317231,-1.0954902364012984,0.02169511719375845
GABARAPL2,56.46496002255511,-2.684563557658256,3.96107492762873e-4
RPL26L1,17.625655939631475,-6.332036589392985,0.001091068795750387
MAT2B,10.913756906057921,-3.251207005091439,0.027472919610456014
INPP4A,19.062594859299143,2.282193142080636,0.03679261743838849
AP2S1,7.418487366318261,-4.105554399413478,0.029183877014720406
NOP16,14.958336079647374,-5.86271533973761,0.003865522549832507
FAM120A,32.70436159307593,-2.9561060399257473,0.0027912657388089917
LETMD1,9.135507043305322,-3.0089113632456552,0.04188772764369573
HEBP2,11.675560780824764,-3.4444053483393082,0.021501135647455986
NOP58,34.16196207417051,-1.6174848408616456,0.04916349216098677
YBX3,36.12398112584464,-3.3996917153264565,0.0013545951556497241
MRPS35,18.20164039242511,-3.496125969059056,0.015756551556555937
RNF4,14.43843601801076,-2.6576307766899445,0.0496396630221734
CCN5,24.65437613902863,3.762541703426456,0.021295777109067403
HIPK2,21.607865071593796,-2.8359735838596487,0.030046682408294438
KARS1,49.332339806046676,-2.4624418769631675,0.0025185662282466376
NDUFB4,57.17931266756862,-1.8372553053859424,0.015637515474703986
ZC3H15,38.36839529665958,-2.6534026726191122,0.009105294719187994
MTHFD2,92.95975785169598,-3.2408445244994586,0.0032237277703910648
MTFR1,11.561265469096856,-3.354950913228525,0.02499015661037448
PKM,88.41814569775157,-1.9204199844163288,0.0010503299150494314
IDH3G,8.608923139978064,-4.4831711570360415,0.021732842428410143
PRR11,43.40468329183455,2.675520700927768,7.357333567297707e-4
IFT80,15.391990376920026,3.384068353237268,0.03240450331585917
VPS35,27.714187822027856,-2.559492649376756,0.008598178067436612
DNAJA2,28.925727122028288,-2.381032476615366,0.04430266284479446
FUNDC1,7.224859634676456,-3.9431314800851585,0.033781372602595866
NEDD4,19.2318310406919,1.9211409698041109,0.03677129942300433
GNB5,32.860062656524164,1.9548811901124084,0.0401691070882212
ASNS,27.295213625766532,-3.7584047083689183,0.0031452477967586056
PABPC1,716.3652815041007,-1.4276178012504066,0.012186351116471697
TCF3,7.959953004897837,-4.318946358006728,0.024359496925356227
FAM50A,24.393026381924784,1.6936960849726523,0.04569555369033732
PDCD2,13.087862350241695,-2.4660963299302336,0.04207650546791355
AFF4,11.244940631033558,-5.227616520431917,0.008976236273791412
PICALM,22.886809759345127,-4.820782044414342,0.002289886218503361
CLNS1A,24.00202944225805,-6.965675257081279,2.1572081193238648e-4
