size,2d_rnaEasy_0.1_AMG,2d_rnaEasy_0.01_AMG,2d_rnaEasy_0.05_AMG,3d_rnaEasy_1.0_AMG
0.5,0,0,0,0
1.5,0,0,0,0
2.5,0,0,0,0
3.5,0,0,17400,0
4.5,0,0,1528900,0
5.5,0,0,3346000,0
6.5,100,0,1237900,0
7.5,92200,0,282100,0
8.5,1874900,0,91800,0
9.5,4831600,0,61800,0
10.5,4186500,0,82500,0
11.5,2419700,0,168800,0
12.5,1520900,0,404100,240
13.5,1617000,100,939500,2080
14.5,2975200,1400,1928200,13280
15.5,6009700,8700,3390200,55040
16.5,10743900,36600,5144500,162320
17.5,16751700,113800,6905500,363760
18.5,23513100,280300,8448000,654800
19.5,30666200,582900,9691400,993440
20.5,37990900,1081600,10678500,1322880
21.5,45298900,1871100,11512000,1601040
22.5,52382000,3112800,12301900,1813520
23.5,59028400,5069300,13139600,1970880
24.5,65055300,8123400,14091900,2098400
25.5,70331100,12742100,15203400,2227280
26.5,74787000,19345800,16495800,2390400
27.5,78424700,28104100,17961900,2621280
28.5,81315500,38753500,19558400,2954800
29.5,83588800,50551300,21205000,3428400
30.5,85411300,62409700,22795500,4081680
31.5,86961700,73155900,24216000,4955760
32.5,88408500,81809100,25364900,6090880
33.5,89893100,87776900,26167600,7524000
34.5,91520000,90922000,26584700,9285120
35.5,93353900,91507600,26612900,11394800
36.5,95420700,90065500,26281500,13860960
37.5,97712200,87238200,25645000,16678000
38.5,100191100,83642500,24774500,19825520
39.5,102796300,79776600,23748000,23269360
40.5,105447500,75979000,22642600,26962960
41.5,108049900,72429600,21528300,30849840
42.5,110497500,69179300,20464100,34866640
43.5,112678900,66192400,19497200,38946480
44.5,114483200,63391600,18662900,43022480
45.5,115808500,60695100,17986700,47030560
46.5,116570900,58043700,17486300,50912240
47.5,116713300,55415700,17173800,54616160
48.5,116211400,52829900,17058100,58099840
49.5,115077000,50340300,17145800,61329040
50.5,113356300,48024300,17442400,64278400
51.5,111123800,45969400,17952800,66929840
52.5,108474600,44259900,18680800,69271680
53.5,105514600,42966100,19628600,71297360
54.5,102351000,42137000,20795800,73004000
55.5,99084800,41795500,22178400,74391520
56.5,95805400,41936900,23767500,75461760
57.5,92587500,42529000,25548000,76218000
58.5,89490400,43513800,27498100,76665120
59.5,86558300,44810600,29588700,76809520
60.5,83822600,46320500,31783200,76659520
61.5,81303900,47932200,34039300,76226000
62.5,79014400,49530000,36309800,75522640
63.5,76960600,51001700,38545300,74566000
64.5,75144800,52247700,40697200,73375920
65.5,73567000,53188300,42720700,71974960
66.5,72225700,53769300,44577700,70388400
67.5,71118900,53965900,46239500,68643200
68.5,70244100,53782100,47688400,66767520
69.5,69598500,53248100,48917800,64789840
70.5,69178400,52415800,49932200,62738240
71.5,68979300,51352000,50745200,60639600
72.5,68994800,50132500,51376900,58518960
73.5,69216400,48835700,51851800,56399200
74.5,69632800,47537800,52195400,54300720
75.5,70229700,46309500,52432200,52241200
76.5,70989700,45213900,52583800,50235600
77.5,71892200,44305500,52667600,48296320
78.5,72914000,43630600,52697000,46433600
79.5,74029400,43227800,52681000,44655280
80.5,75211800,43129400,52625300,42967360
81.5,76433900,43361900,52533500,41374240
82.5,77669300,43947400,52407800,39879040
83.5,78893300,44903700,52250300,38483760
84.5,80084300,46244700,52064000,37189440
85.5,81224000,47979800,51853200,35996640
86.5,82298500,50113500,51624300,34905280
87.5,83298800,52644400,51385500,33915040
88.5,84220400,55564100,51146900,33025280
89.5,85063400,58856100,50919900,32235440
90.5,85832200,62494700,50717100,31544720
91.5,86534600,66444900,50551700,30952400
92.5,87181400,70661700,50436600,30458000
93.5,87785300,75091000,50384100,30060880
94.5,88360000,79670300,50405300,29760880
95.5,88919800,84330900,50510100,29557840
96.5,89478700,89000300,50706100,29451840
97.5,90049700,93604600,50999500,29443120
98.5,90644300,98072100,51393700,29532320
99.5,91272500,102336000,51890600,29720240
