size,,3d_rnaEasy_DMSO_2,2d_rnaEasy_DMSO_1,3d_rnaEasy_DMSO_1
0.5,,0,0,0
1.5,,0,0,0
2.5,,0,0,0
3.5,,0,0,0
4.5,,0,0,0
5.5,,0,0,0
6.5,,0,0,0
7.5,,0,0,0
8.5,,0,0,0
9.5,,0,0,0
10.5,,0,0,0
11.5,,400,0,0
12.5,,27300,0,0
13.5,,432400,0,0
14.5,,2243800,400,0
15.5,,5019700,3300,0
16.5,,6133800,20900,0
17.5,,5057600,117500,0
18.5,,3509000,580100,0
19.5,,2740600,2201700,0
20.5,,3153800,6037900,0
21.5,,5008200,12270700,200
22.5,,8641200,19581900,700
23.5,,14200700,26061700,2600
24.5,,21406100,30463300,7500
25.5,,29634200,32563800,18200
26.5,,38211100,32790700,38200
27.5,,46645900,31757700,69900
28.5,,54699300,30007700,114000
29.5,,62339400,27937500,168300
30.5,,69670000,25807300,228200
31.5,,76881000,23774400,288500
32.5,,84224900,21924800,344800
33.5,,92010900,20298400,394900
34.5,,100599000,18907900,439400
35.5,,110385000,17750300,480900
36.5,,121768500,16815700,523000
37.5,,135101300,16091400,568700
38.5,,150623200,15564400,619900
39.5,,168394100,15222100,676200
40.5,,188238600,15051800,735300
41.5,,209716600,15040600,793600
42.5,,232130800,15174700,846600
43.5,,254573300,15438700,890300
44.5,,276006400,15816700,922000
45.5,,295366000,16293100,940200
46.5,,311670300,16853800,945400
47.5,,324119400,17489200,939200
48.5,,332169100,18196100,924500
49.5,,335572400,18980000,904900
50.5,,334383000,19856500,884100
51.5,,328925900,20851600,865900
52.5,,319741200,21999500,853700
53.5,,307513600,23339000,850700
54.5,,292996700,24906200,859900
55.5,,276945000,26727100,884200
56.5,,260058100,28807800,926300
57.5,,242942800,31126600,989100
58.5,,226092100,33629500,1075700
59.5,,209879900,36229100,1189500
60.5,,194567400,38810800,1334400
61.5,,180316800,41243800,1514500
62.5,,167209700,43395400,1734300
63.5,,155265200,45147800,1998800
64.5,,144458400,46411700,2313200
65.5,,134734800,47136700,2683000
66.5,,126022800,47314900,3113500
67.5,,118242700,46979400,3610200
68.5,,111313600,46197200,4178400
69.5,,105157700,45059000,4822400
